chapter_no	chapter_title	id	word	phonetic	pos	tag	meaning	root	example_en	example_cn	extra	source
1	时间与存在	11	longitude	/ˈlɒndʒɪtjuːd/	n.	高频	经度	long（长）+ -itude（表示状态）→ 经度	Using longitude and latitude, navigators can pinpoint any location on the ocean.	利用经纬度，航海者可以精确定位海洋上任何一处。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	12	latitude	/ˈlætɪtjuːd/	n.	高频	纬度	lat（宽）+ -itude（表示状态）→ 纬度	Cities located at higher latitudes receive much less sunlight in winter.	高纬度城市在冬天接收的阳光要少得多。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	13	horizon	/həˈraɪzən/	n.	核心	地平线；眼界，见识	源自希腊语 horizon（界限）→ 地平线；眼界	Watching the sun disappear below the ocean horizon is a breathtaking experience.	看着太阳消失在海平面之下是一种令人屏息的体验。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	14	altitude	/ˈæltɪtjuːd/	n.	核心	高度，海拔	alt（高）+ -itude（表示性质、状态）→ 高度	Hikers often struggle with low oxygen when they reach high altitudes.	徒步者在到达高海拔地区时通常会因低氧而感到吃力。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	15	disaster	/dɪˈzɑːstə/	n.	核心	灾难	dis（表示否定）+ aster（星星）→ 星相不吉 → 灾难	The oil leak caused an environmental disaster along the entire coastline.	这次石油泄漏给整条海岸线带来了环境灾难。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	16	mishap	/ˈmɪshæp/	n.	高频	小灾难	mis（坏的，错的）+ hap（运气）→ 不幸；小事故	A slight mishap in the laboratory caused a short delay to the experiment.	实验室的一个小事故让实验短暂推迟。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	17	catastrophic	/ˌkætəˈstrɒfɪk/	adj.	高频	灾难性的	源自希腊语 katastrophē（翻转；毁灭）→ 灾难性的	A sudden rise in sea levels could have catastrophic effects on coastal cities.	海平面突然上升可能会给沿海城市带来灾难性后果。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	18	calamity	/kəˈlæməti/	n.	高频	灾难，不幸的事	源自拉丁语 calamitas（灾害，损失）→ 灾难	Years of conflict turned the once peaceful valley into a calamity zone.	多年的冲突把曾经安宁的山谷变成了一片灾区。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	19	endanger	/ɪnˈdeɪndʒə/	v.	核心	使遭受危险，危及	en（使）+ danger（危险）→ 使遭受危险	The increase in plastic waste endangers birds and sea creatures.	塑料垃圾的增加危及鸟类和海洋生物。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	20	jeopardise	/ˈdʒepədaɪz/	v.	核心	危害，危及	源自古法语 jeu parti（平分的棋局）→ 危险处境 → 危及	Pollution from nearby factories jeopardises the local water supply.	附近工厂的污染危及当地供水。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	21	destructive	/dɪˈstrʌktɪv/	adj.	核心	破坏性的，有害的	de（除去）+ struct（建造）+ -ive（形容词后缀）→ 破坏性的	The destructive storm swept through several villages, leaving hundreds homeless.	这场破坏性风暴席卷了好几个村庄，数百人流离失所。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	22	El Nino	/el ˈniːnjəʊ/	n.	识记	厄尔尼诺现象	西班牙语“圣婴”，指南美沿岸海水异常增温现象	During El Nino periods, fishing yields near Peru tend to drop sharply.	在厄尔尼诺期间，秘鲁附近的渔获量往往会大幅下降。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	23	greenhouse	/ˈɡriːnhaʊs/	n.	核心	温室，暖房	green（绿色，植物）+ house（房屋）→ 温室	Crops grown in a greenhouse are protected from extreme cold and pests.	在温室中种植的作物能免于极寒和虫害侵袭。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	24	phenomenon	/fɪˈnɒmɪnən/	n.	核心	现象	pheno（显示，出现）+ menon（名词后缀）→ 现象	The sudden phenomenon caught the attention of scientists around the world.	这一突然现象引起了全球科学家的注意。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	25	pebble	/ˈpebl/	n.	低频	鹅卵石	源自古英语 papol（小石子）→ 鹅卵石	She picked up a smooth white pebble as a souvenir of the beach.	她捡起一块光滑的白色鹅卵石当作海滩的纪念。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	26	magnet	/ˈmæɡnɪt/	n.	高频	磁铁，吸铁石	源自希腊语 Magnēsia（马格内西亚，古地名）→ 磁石	The child used a magnet to collect all the scattered metal pins.	孩子用一块磁铁把所有散落的大头针吸了起来。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	27	ore	/ɔː/	n.	高频	矿石；矿	源自古英语 ōra（黄铜，矿石）→ 矿石	The region is known for its rich deposits of copper and iron ore.	该地区以丰富的铜矿和铁矿而闻名。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	28	mineral	/ˈmɪnərəl/	n.	核心	矿物，矿物质；矿产	mine（矿山）+ -eral（表示名词）→ 矿物	Many cereals are fortified with essential minerals like zinc and iron.	许多谷物食品都强化添加了锌和铁等必需矿物质。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	29	marble	/ˈmɑːbl/	n.	高频	大理石；弹球	源自希腊语 marmaros（闪光的石头）→ 大理石	The floor of the cathedral was made of polished white marble.	大教堂的地面由抛光白色大理石铺成。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	30	quartz	/kwɔːts/	n.	低频	石英	源自德语 Quarz，可能来自斯拉夫语（硬的）→ 石英	The watch is powered by a tiny quartz crystal that vibrates constantly.	这块表由一颗不断振动的小石英晶体驱动。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	31	granite	/ˈɡrænɪt/	n.	低频	花岗岩	gran（颗粒）+ -ite（名词后缀）→ 有颗粒的石头 → 花岗岩	The old bridge was built from solid granite and survived several floods.	这座古桥用坚固的花岗岩建成，历经多次洪水仍屹立不倒。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	32	gust	/ɡʌst/	n.	高频	一阵狂风；迸发	源自古诺斯语 gustr（风）→ 一阵狂风	A powerful gust of wind blew the papers off the outdoor table.	一阵强风把文件从户外桌上吹落。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	33	breeze	/briːz/	n.	高频	微风，和风	可能源自西班牙语 brisa（东北风）→ 微风	We enjoyed a gentle evening breeze as we walked along the beach.	我们沿着海滩散步时享受着傍晚轻柔的微风。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	34	monsoon	/mɒnˈsuːn/	n.	高频	季风；雨季	源自阿拉伯语 mausim（季节）→ 季风	Farmers in South Asia depend on the monsoon to water their rice fields.	南亚的农民依赖季风给稻田浇水。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	35	gale	/ɡeɪl/	n.	高频	大风	起源不确定，可能源自古诺斯语 gal（狂风）→ 大风	The ship radioed for help as it was caught in a fierce gale.	那艘船遭遇狂风，发出无线电求救。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	36	hurricane	/ˈhʌrɪkən/	n.	高频	飓风；暴风	源自西班牙语 huracán，来自加勒比土著语风暴之神 → 飓风	Coastal residents evacuated their homes before the hurricane made landfall.	沿海居民在飓风登陆前撤离了家园。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	37	tornado	/tɔːˈneɪdəʊ/	n.	高频	龙卷风	可能源自西班牙语 tronada（雷暴）→ 龙卷风	The tornado lifted farm vehicles off the ground and tossed them aside.	龙卷风把农用车辆掀离地面，抛到一旁。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	38	typhoon	/taɪˈfuːn/	n.	高频	台风	源自汉语粤方言“大风”（daai fung）→ 台风	Ferry services were suspended as the typhoon grew stronger overnight.	随着台风夜间加强，渡轮服务暂停。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	39	volcano	/vɒlˈkeɪnəʊ/	n.	高频	火山	源自罗马神话火神 Vulcan（武尔坎）→ 火山	Tourists gathered at the viewpoint to watch the volcano erupt at sunset.	游客聚集在观景台观看日落时分的火山喷发。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	40	erupt	/ɪˈrʌpt/	v.	高频	爆发，喷发；突然出现	e（向外）+ rupt（破裂）→ 向外破裂 → 爆发	Thick smoke and ash erupted from the crater, darkening the sky.	浓烟和火山灰从火山口喷出，天空变得昏暗。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	41	magma	/ˈmæɡmə/	n.	识记	岩浆	源自希腊语 magma（揉捏，浓厚的软膏）→ 岩浆	As magma rises closer to the surface, it can trigger tremors in nearby areas.	当岩浆上升接近地表时，会引发附近地区的震动。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	42	thermodynamic	/ˌθɜːməʊdaɪˈnæmɪk/	adj.	识记	热力的；热力学的	thermo（热）+ dynamic（力的；力学）→ 热力的；热力学的	The engine was designed using advanced thermodynamic principles for better fuel efficiency.	这台发动机采用先进热力学原理设计，以提高燃油效率。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	43	smog	/smɒɡ/	n.	高频	烟雾，雾霾	smoke（烟）+ fog（雾）→ 烟雾	The city banned many older cars to reduce the smog that covered its streets.	该市禁止许多旧车上路，以减少覆盖街道的雾霾。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	44	fume	/fjuːm/	n.	高频	烟，气体	源自拉丁语 fumus（烟）→ 烟，气体	Workers wore masks to avoid inhaling the toxic fumes from burning plastics.	工人戴着口罩以避免吸入燃烧塑料产生的有毒烟气。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	45	mist	/mɪst/	n.	高频	薄雾；水汽；使视线模糊的东西	源自古英语 mist（薄雾）→ 薄雾	A cold mist rolled off the river, making it hard to see the opposite bank.	一股寒冷的薄雾从河面升起，使对岸难以看清。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	46	tsunami	/tsuːˈnɑːmi/	n.	高频	海啸	源自日语“津波”（港口波浪）→ 海啸	The earthquake generated a huge tsunami that swept over the coastal villages.	地震引发了巨大的海啸，淹没了沿海村庄。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	47	drought	/draʊt/	n.	高频	干旱，旱灾	词源同 dry（干燥的）→ 干旱	Long months of drought forced the local government to restrict water use.	长达数月的干旱迫使当地政府限制用水。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	48	flooding	/ˈflʌdɪŋ/	n.	高频	洪水泛滥	flood（洪水）+ -ing（表示过程）→ 洪水泛滥	The flooding submerged the entire ground floor of the hospital.	洪水淹没了医院整个一楼。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	49	torrent	/ˈtɒrənt/	n.	高频	激流，洪流	源自拉丁语 torrens（急流）→ 激流	After the heavy rain, a torrent of brown water rushed down the mountain.	大雨过后，一股棕色的激流从山上奔涌而下。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	50	earthquake	/ˈɜːθkweɪk/	n.	核心	地震	earth（地球）+ quake（震动）→ 地震	The earthquake rattled windows and knocked books off the shelves.	地震震得窗户咯吱响，把书架上的书震落。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	51	seismic	/ˈsaɪzmɪk/	adj.	高频	地震的，地震引起的	源自希腊语 seismos（地震）→ 地震的	Researchers placed sensors across the fault to monitor seismic changes.	研究人员在断层各处放置传感器以监测地震变化。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	52	avalanche	/ˈævəlɑːnʃ/	n.	高频	雪崩	源自古法语 avaler（下降）→ 雪崩	The skiers were warned to stay away from the steep slope because of avalanche danger.	滑雪者被警告远离陡峭山坡，因为有雪崩危险。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	53	terrain	/təˈreɪn/	n.	高频	地形	源自拉丁语 terrenum（大地）→ 地形	The mountainous terrain made it difficult to build a railway through the region.	多山的地形使得在该地区修建铁路十分困难。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	54	landscape	/ˈlændskeɪp/	n.	核心	风景，地貌	land（陆地）+ -scape（表示性质、状况）→ 地貌	The dramatic desert landscape attracted artists from around the world.	这种壮观的沙漠地貌吸引了世界各地的艺术家。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	55	continent	/ˈkɒntɪnənt/	n.	核心	大陆；洲	源自拉丁语 continens（连绵的土地）→ 大陆	Australia is unique because it is both a country and an entire continent.	澳大利亚很独特，因为它既是一个国家，又是一整块大陆。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	56	cave	/keɪv/	n.	高频	洞穴，山洞	源自拉丁语 cava（空洞）→ 洞穴	The explorers lit their torches before entering the dark limestone cave.	探险者点燃火把，然后才进入漆黑的石灰岩洞穴。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	57	cliff	/klɪf/	n.	高频	悬崖，峭壁	源自古英语 clif（岩石，陡坡）→ 悬崖	They stood at the edge of the cliff, looking down at the waves crashing below.	他们站在悬崖边缘，俯视下方翻腾的海浪。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	58	glacier	/ˈɡlæsiə/	n.	高频	冰河，冰川	源自拉丁语 glacies（冰）→ 冰川	Slowly moving glaciers carved deep valleys into the landscape over many centuries.	缓慢移动的冰川经过许多世纪雕刻出深深的峡谷。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	59	swamp	/swɒmp/	n.	高频	沼泽，湿地	起源不确定，可能来自日耳曼语（浸水的土地）→ 沼泽	A wooden boardwalk let visitors cross the swamp without getting their feet wet.	一条木板栈道让游客可以穿过沼泽而不会弄湿双脚。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	60	delta	/ˈdeltə/	n.	高频	三角洲	源自希腊字母首个字母 Δ（三角形）→ 三角洲	The Yangtze Delta is one of China's most economically developed regions.	长江三角洲是中国经济最发达的地区之一。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	61	plain	/pleɪn/	n.	核心	平原	源自拉丁语 planus（平坦的）→ 平原	Vast wheat fields stretched across the flat plain as far as the eye could see.	广阔的麦田穿过平坦的平原，一眼望不到边。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	62	plateau	/ˈplætəʊ/	n.	高频	高原	源自法语 plateau（平盘）→ 高原	The Tibetan Plateau rises so high that it is often called the roof of the world.	青藏高原海拔如此之高，常被称为世界屋脊。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	63	oasis	/əʊˈeɪsɪs/	n.	高频	绿洲；宜人之地	源自希腊语 oasis（绿洲）→ 沙漠中的水源地	The small oasis offered a shaded resting spot for travelers crossing the dry desert.	这片小绿洲为穿越干燥沙漠的旅人提供了一处阴凉歇脚地。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	64	globe	/ɡləʊb/	n.	核心	球体；地球仪；地球	源自拉丁语 globus（球体）→ 地球	The museum had a giant globe that showed all the world's shipping routes.	博物馆里有一个巨大的地球仪，展示着全世界的航线。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	65	hemisphere	/ˈhemɪsfɪə/	n.	高频	半球	hemi（半）+ sphere（球）→ 半球	When it is summer in the northern hemisphere, it is winter in the southern.	当北半球是夏季时，南半球就是冬季。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	66	equator	/ɪˈkweɪtə/	n.	高频	赤道	源自拉丁语 aequare（使相等）→ 赤道（将地球平分）	The sun blazed directly overhead as the ship crossed the equator.	当船只越过赤道时，太阳直直地照在头顶上。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	67	Arctic	/ˈɑːktɪk/	adj.	高频	极冷的；北极的	源自希腊语 arktikos（靠近大熊星座的；北方的）→ 北极的	Polar bears are specially adapted to survive in the harsh Arctic environment.	北极熊特别适应在严酷的北极环境中生存。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	68	Antarctic	/ænˈtɑːktɪk/	adj.	高频	南极的	ant（对面的）+ arctic（北极）→ 北极的对面 → 南极	The Antarctic ice sheet holds most of the planet's fresh water.	南极冰盖储存着地球上大部分的淡水。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	69	pole	/pəʊl/	n.	核心	地极；截然相反的两极之一	源自拉丁语 polus（轴的端点）→ 地极	Scientists set up a temporary station near the South Pole to study the climate.	科学家在南极附近设立了临时站研究气候。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	70	polar	/ˈpəʊlə/	adj.	核心	极地的，近极地的；对立的	pole（极地）+ -ar（形容词后缀）→ 极地的	The rapid warming of polar regions is alarming climate experts.	极地地区的快速升温令气候专家感到担忧。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	71	axis	/ˈæksɪs/	n.	高频	轴，轴线	源自拉丁语 axis（车轴；轴线）→ 轴线	The Earth rotates around its tilted axis once every twenty-four hours.	地球每二十四小时绕其倾斜的轴线自转一圈。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	72	deteriorate	/dɪˈtɪəriəreɪt/	v.	核心	恶化，变坏	源自拉丁语 deterior（更差的）+ -ate（动词后缀）→ 恶化	Air quality in the capital began to deteriorate as more factories opened.	随着更多工厂开工，首都的空气质量开始恶化。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	73	aggravate	/ˈæɡrəveɪt/	v.	核心	加重，加剧，使恶化	ag（加强意义）+ grav（重的）+ -ate（动词后缀）→ 加重	Exhaust from cars may aggravate breathing problems in elderly people.	汽车排放的废气可能加重老年人的呼吸问题。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	74	degrade	/dɪˈɡreɪd/	v.	核心	降解；降低身份；使恶化	de（向下）+ grade（层级）→ 降级 → 退化	Plastic bags take centuries to degrade naturally in the environment.	塑料袋需要几个世纪才能在环境中自然降解。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	75	upgrade	/ʌpˈɡreɪd/	v.	核心	使升级；提高，改善	up（向上）+ grade（层级）→ 升级	They decided to upgrade the old power station to reduce air pollution.	他们决定升级那座旧发电站以减少空气污染。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	76	erode	/ɪˈrəʊd/	v.	核心	侵蚀，腐蚀	e（向外）+ rod（咬）+ e → 咬掉 → 侵蚀	Constant rainfall will erode the topsoil on hills rebuilt without trees.	持续降雨会侵蚀没有树木的山坡上的表层土壤。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	77	Mediterranean	/ˌmedɪtəˈreɪniən/	adj.	识记	地中海的；地中海地区的	medi（中间）+ terra（陆地）→ 陆地之间的海 → 地中海	The Mediterranean climate, with hot dry summers, attracts many tourists.	夏季炎热干燥的地中海气候吸引了大量游客。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	78	Atlantic	/ətˈlæntɪk/	adj.	识记	大西洋的	源自希腊语 Atlantikos（阿特拉斯之海）→ 大西洋	The Atlantic trade winds helped early explorers cross the vast ocean.	大西洋信风帮助早期探险者横渡这片广阔海洋。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	79	Pacific	/pəˈsɪfɪk/	adj.	识记	平静的，和平的；太平洋的	源自拉丁语 pacificus（带来和平的）→ 太平洋（麦哲伦命名）	The Pacific Ocean covers nearly one third of the Earth's total surface.	太平洋几乎覆盖了地球总面积的三分之一。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	80	ocean	/ˈəʊʃən/	n.	核心	海洋；洋	源自希腊语 ōkeanos（环绕大地的大河）→ 海洋	The deep ocean remains one of the least explored areas on the planet.	深海仍然是地球上探索最少的区域之一。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	81	marine	/məˈriːn/	adj.	高频	海生的，海洋的；海事的	源自拉丁语 mare（海）→ 海洋的	The government set up a protected area to preserve the region's marine life.	政府设立保护区以保护该地区的海洋生物。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	82	navigation	/ˌnævɪˈɡeɪʃən/	n.	高频	航行；航海	源自拉丁语 navis（船）+ agere（驾驶）→ 航海	Modern ships rely on satellite navigation more than paper charts.	现代船只更多地依赖卫星导航而非纸质海图。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	83	gulf	/ɡʌlf/	n.	高频	海湾	源自希腊语 kolpos（怀抱；海湾）→ 海湾	The gulf provides a natural harbor for fishing boats during bad weather.	这个海湾在恶劣天气时为渔船提供了天然避风港。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	84	beach	/biːtʃ/	n.	高频	海滩，河滩	源自古英语 bæce（溪流边的小石头）→ 海滩	Children spent all afternoon building sand castles on the beach.	孩子们整个下午都在海滩上堆沙堡。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	85	coast	/kəʊst/	n.	核心	海岸，海滨	源自拉丁语 costa（肋骨；侧边）→ 海岸	A series of wind farms was installed along the coast to generate clean power.	沿岸安装了一系列风力发电机以产生清洁能源。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	86	shore	/ʃɔː/	n.	高频	岸，滨	源自古英语 scora（岸）→ 岸	They launched the lifeboat from the shore and rowed toward the sinking boat.	他们从岸边放下救生艇，向正在下沉的船只划去。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	87	tide	/taɪd/	n.	核心	趋势，潮流；潮汐	源自古英语 tīd（时间，时节）→ 潮汐	The tide carried the drifting wood far up the beach during the night.	潮水在夜间把漂流的木头冲到了海滩很远的地方。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	88	current	/ˈkʌrənt/	n.	核心	水流，潮流；电流；气流	源自拉丁语 currere（跑）→ 流动 → 水流	Swimmers were warned of a strong undercurrent that could pull them out to sea.	游泳者被警告有一股强底流，可能将他们拖入外海。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	89	brook	/brʊk/	n.	高频	小河，溪	源自古英语 brōc（小溪）→ 小河	A clear brook runs through the middle of the village from the nearby hills.	一条清澈的小溪从附近山上流过村庄中央。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	90	stream	/striːm/	n.	核心	小河，溪；流	源自古英语 strēam（溪流）→ 溪	They set up their tent beside a mountain stream to have fresh water nearby.	他们在一条山间小溪旁搭起帐篷，以便就近取用淡水。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	91	source	/sɔːs/	n.	核心	河的源头；根源	源自古法语 sourse（涌出）→ 源头	The team followed the river all the way to its source high in the mountains.	团队沿着河流一路走到它位于高山深处的源头。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	92	shallow	/ˈʃæləʊ/	adj.	核心	浅的；肤浅的，浅薄的	源自古英语 sceald（浅的）→ 浅的	The water near the shore was so shallow that we could walk out quite far.	靠近岸边的水很浅，我们可以走出相当远。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
